Boss,time (xx:xx),day of the week,Column 1,Boss,Time (xx:xx),Day of the week,Channel,Spawn Time (xx:xx),Day of the week,Server,
Skypetal Plains,10:15,Tuesday,,Profane,23:08,Sunday,ch2,3:50,Friday,eu,
Skypetal Plains,11:48,Monday,,Kaari Lord,9:22,Tuesday,ch1,4:50,Sunday,eu,
Primeval Forest,7:19,Monday,,Lycan,9:02,Thursday,ch3,5:30,Sunday,eu,
Skypetal Plains,8:49,Monday,,Lycan,8:57,Friday,ch2,6:17,Sunday,eu,
Primeval Forest,14:48,Monday,,Sajifi,17:15,Sunday,ch3,7:52,Sunday,eu,
Skypetal Plains,22:25,Monday,,,,,ch1,8:32,Sunday,eu,
Primeval Forest,23:27,Sunday,,,,,ch2,9:27,Sunday,eu,
Skypetal Plains,10:02,Tuesday,,,,,ch3,10:52,Sunday,eu,
Skypetal Plains,14:30,Tuesday,,,,,ch1,13:15,Sunday,eu,
Skypetal Plains,10:26,Tuesday,,,,,ch3,13:26,Sunday,eu,
Primeval Forest,11:54,Tuesday,,,,,ch2,13:42,Sunday,eu,
Skypetal Plains,11:33,Tuesday,,,,,ch1,16:13,Sunday,eu,this is a flop sir
Skypetal Plains,13:07,Tuesday,,,,,ch1,23:12,Sunday,eu,
Skypetal Plains,14:32,Tuesday,,,,,ch3,23:27,Sunday,eu,
Skypetal Plains,7:03,Tuesday,,,,,ch3,9:31,Monday,eu,
Primeval Forest,8:43,Tuesday,,,,,ch2,14:08,Monday,eu,
Skypetal Plains,10:03,Tuesday,,,,,ch1,15:31,Monday,,
Skypetal Plains,15:58,Tuesday,,,,,ch2,17:19,Monday,,
Skypetal Plains,17:31,Tuesday,lmao we both did,,,,,,,,
Primeval Forest,23:37,Tuesday,it delete one ,,,,,,,,
Skypetal Plains,8:36,Wednesday,,,,,,,,,
Primeval Forest,10:28,Wednesday,,,,,,,,,
Skypetal Plains,7:10,Wednesday,confirmed ,,,,,,,,
Skypetal Plains,2028,Sunday,,,,,,,,,
Primeval Forest,,Friday,,,,,,,,,
