Day,Time,Location,Confidence,Source,Notes
Friday,10:18,Earthbreaker Mountains,HIGH,Discord,twardy confirmed
Friday,11:45,Earthbreaker Mountains,HIGH,Discord,twardy confirmed
Friday,13:14,Forest of Wisdom,HIGH,Discord,Saya confirmed; CSV ~13:17 matches
Friday,14:40,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~14:45 matches
Friday,16:13,Forest of Wisdom,HIGH,Discord+CSV,Both sources match exactly
Friday,17:39,Divine Fist Wasteland,HIGH,Discord,twardy confirmed; CSV ~17:43-17:44 matches
Friday,22:14,Forest of Wisdom,HIGH,Discord,Saya SPAWNED; CSV ~22:09 matches
Saturday,10:05,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~10:10 matches
Saturday,11:38,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~11:40 matches
Saturday,13:07,Earthbreaker Mountains,HIGH,Discord+CSV,Both sources match exactly
Saturday,14:40,Earthbreaker Mountains,MEDIUM,Discord,twardy marked with (?); CSV ~14:39-14:45 matches
Saturday,16:14,Forest of Wisdom,HIGH,Discord+CSV,Both sources match exactly
Saturday,23:40,Earthbreaker Mountains,HIGH,Discord,Dectyle Announcement confirmed; CSV matches
Sunday,11:28,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~11:33 close
Sunday,13:03,Forest of Wisdom,HIGH,Discord,twardy confirmed
Sunday,14:29,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~14:28 matches
Sunday,18:46,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~18:45 matches
Sunday,20:21,Earthbreaker Mountains,HIGH,Discord,twardy+Saya both confirmed; CSV matches
Monday,10:38,Earthbreaker Mountains,HIGH,Discord,twardy confirmed
Monday,12:08,Forest of Wisdom,HIGH,Discord,twardy confirmed
Monday,13:37,Forest of Wisdom,HIGH,Discord+CSV,Both sources match exactly
Monday,15:04,Divine Fist Wasteland,HIGH,Discord+CSV,Both sources match exactly
Monday,18:03,Forest of Wisdom,HIGH,Discord,twardy confirmed
Tuesday,10:38,Divine Fist Wasteland,HIGH,Discord,Saya confirmed
Tuesday,12:10,Forest of Wisdom,HIGH,Discord,twardy confirmed
Tuesday,13:42,Earthbreaker Mountains,HIGH,Discord,twardy confirmed; CSV ~13:48 close
Tuesday,18:07,Divine Fist Wasteland,HIGH,Discord+CSV,Saya confirmed; CSV matches exactly
Tuesday,22:36,Earthbreaker Mountains,HIGH,Discord,Saya confirmed; CSV ~22:35-22:40 matches
